sample_id,sample_index,degradation_types,degradation_levels,tool_name,tool_description,success,baseline_psnr,baseline_ssim,baseline_lpips,restored_psnr,restored_ssim,restored_lpips,psnr_improvement,ssim_improvement,lpips_improvement
sample_42,42,jpeg compression artifact,high,restormer_deraining,Restormer去雨,True,32.638249658241115,0.9061131862557356,0.14590699970722198,32.91299016648771,0.9131679562052679,0.13626155257225037,0.2747405082465946,0.007054769949532358,0.009645447134971619
sample_42,42,jpeg compression artifact,high,xrestormer_motion_deblurring,XRestormer运动去模糊,True,32.638249658241115,0.9061131862557356,0.14590699970722198,21.01982527313691,0.6793944759162005,0.3014998435974121,-11.618424385104205,-0.22671871033953506,-0.15559284389019012
sample_42,42,jpeg compression artifact,high,xrestormer_deraining,XRestormer去雨,True,32.638249658241115,0.9061131862557356,0.14590699970722198,32.74759097469373,0.9103569231492102,0.1387082040309906,0.10934131645261402,0.004243736893474681,0.007198795676231384
sample_42,42,jpeg compression artifact,high,mprnet_denoising,MPRNet去噪,True,32.638249658241115,0.9061131862557356,0.14590699970722198,33.06346836920877,0.9236359499973942,0.15962421894073486,0.4252187109676555,0.01752276374165862,-0.013717219233512878
sample_42,42,jpeg compression artifact,high,mprnet_motion_deblurring,MPRNet运动去模糊,True,32.638249658241115,0.9061131862557356,0.14590699970722198,31.50321823670753,0.8863606613020062,0.16053709387779236,-1.1350314215335864,-0.019752524953729367,-0.014630094170570374
sample_42,42,jpeg compression artifact,high,mprnet_deraining,MPRNet去雨,True,32.638249658241115,0.9061131862557356,0.14590699970722198,32.39404549189856,0.9216330513638574,0.12998971343040466,-0.2442041663425556,0.015519865108121866,0.015917286276817322
sample_42,42,jpeg compression artifact,high,fbcnn_jpeg_artifact_removal,FBCNN JPEG伪影去除,True,32.638249658241115,0.9061131862557356,0.14590699970722198,35.41811311943631,0.9470130907769237,0.10320645570755005,2.7798634611951982,0.04089990452118819,0.042700543999671936
sample_42,42,jpeg compression artifact,high,drbnet_defocus_deblurring,DRBNet散焦去模糊,True,32.638249658241115,0.9061131862557356,0.14590699970722198,31.113626423593836,0.8702044268532907,0.21790771186351776,-1.5246232346472794,-0.03590875940244487,-0.07200071215629578
sample_42,42,jpeg compression artifact,high,dehazeformer_dehaze,DehazeFormer去雾,True,32.638249658241115,0.9061131862557356,0.14590699970722198,29.23941468865626,0.9004064043395221,0.1466444879770279,-3.398834969584854,-0.0057067819162134326,-0.0007374882698059082
sample_48,48,dark,medium,swinir_denoising,SwinIR去噪,True,17.84896299930867,0.8797508477608678,0.046283893287181854,17.575065930774116,0.7789417701693516,0.2421697974205017,-0.27389706853455564,-0.10080907759151614,-0.19588590413331985
